x,v,h,H,hW
0.355,0.23804,0.4475,0.45039,0.0
0.36,0.238,0.44749,0.45037,0.0
0.365,0.23796,0.44747,0.45035,0.0
0.37,0.23792,0.44745,0.45033,0.0
0.375,0.23787,0.44743,0.45031,0.0
0.38,0.23782,0.44741,0.4503,0.0
0.385,0.23777,0.4474,0.45028,0.0
0.39,0.23771,0.44738,0.45026,0.0
0.395,0.23764,0.44737,0.45025,0.0
0.4,0.23758,0.44735,0.45023,0.0
0.405,0.23751,0.44734,0.45021,0.0
0.41000000000000003,0.23743,0.44733,0.4502,0.0
0.41500000000000004,0.23736,0.44732,0.45019,0.0
0.42,0.23727,0.4473,0.45017,0.0
0.425,0.23719,0.44729,0.45016,0.0
0.43,0.2371,0.44728,0.45015,0.0
0.435,0.23701,0.44727,0.45014,0.0
0.44,0.23692,0.44727,0.45013,0.0
0.445,0.23683,0.44726,0.45012,0.0
0.45,0.23673,0.44725,0.45011,0.0
0.455,0.23663,0.44724,0.4501,0.0
0.46,0.23652,0.44724,0.45009,0.0
0.465,0.23642,0.44723,0.45008,0.0
0.47000000000000003,0.23631,0.44722,0.45007,0.0
0.47500000000000003,0.23619,0.44722,0.45006,0.0
0.48,0.23608,0.44721,0.45005,0.0
0.485,0.23596,0.44721,0.45004,0.0
0.49,0.23584,0.4472,0.45004,0.0
0.495,0.23571,0.4472,0.45003,0.0
0.5,0.23558,0.4472,0.45003,0.0
0.505,0.23545,0.4472,0.45002,0.0
0.51,0.23532,0.4472,0.45002,0.0
0.515,0.23519,0.44719,0.45001,0.0
0.52,0.23505,0.44719,0.45001,0.0
0.525,0.23491,0.44719,0.45,0.0
0.53,0.23476,0.44719,0.45,0.0
0.535,0.23461,0.44719,0.44999,0.0
0.54,0.23447,0.44719,0.44999,0.0
0.545,0.23433,0.44719,0.44998,0.0
0.55,0.23418,0.44718,0.44998,0.0
0.555,0.23403,0.44718,0.44998,0.0
0.56,0.23389,0.44719,0.44997,0.0
0.5650000000000001,0.23373,0.44719,0.44997,0.0
0.5700000000000001,0.23358,0.44719,0.44997,0.0
0.5750000000000001,0.23342,0.44719,0.44997,0.0
0.58,0.23327,0.44719,0.44996,0.0
0.585,0.23311,0.44719,0.44996,0.0
0.59,0.23295,0.44719,0.44996,0.0
0.595,0.23278,0.4472,0.44996,0.0
0.6,0.23262,0.4472,0.44996,0.0
0.605,0.23245,0.4472,0.44995,0.0
0.61,0.23229,0.4472,0.44995,0.0
0.615,0.23213,0.44721,0.44995,0.0
0.62,0.23196,0.44721,0.44995,0.0
0.625,0.2318,0.44721,0.44995,0.0
0.63,0.23164,0.44722,0.44995,0.0
0.635,0.23147,0.44722,0.44995,0.0
0.64,0.23131,0.44722,0.44995,0.0
0.645,0.23114,0.44723,0.44995,0.0
0.65,0.23097,0.44723,0.44995,0.0
0.655,0.2308,0.44723,0.44995,0.0
0.66,0.23063,0.44724,0.44995,0.0
0.665,0.23046,0.44724,0.44995,0.0
0.67,0.2303,0.44725,0.44995,0.0
0.675,0.23013,0.44725,0.44995,0.0
0.68,0.22997,0.44726,0.44995,0.0
0.685,0.22981,0.44726,0.44995,0.0
0.6900000000000001,0.22964,0.44727,0.44995,0.0
0.6950000000000001,0.22947,0.44727,0.44995,0.0
0.7000000000000001,0.22931,0.44728,0.44996,0.0
0.705,0.22914,0.44728,0.44996,0.0
0.71,0.22897,0.44728,0.44996,0.0
0.715,0.22881,0.44729,0.44996,0.0
0.72,0.22866,0.4473,0.44996,0.0
0.725,0.2285,0.4473,0.44997,0.0
0.73,0.22834,0.44731,0.44997,0.0
0.735,0.22818,0.44731,0.44997,0.0
0.74,0.22802,0.44732,0.44997,0.0
0.745,0.22787,0.44733,0.44998,0.0
0.75,0.22771,0.44733,0.44998,0.0
0.755,0.22755,0.44734,0.44998,0.0
0.76,0.22741,0.44734,0.44998,0.0
0.765,0.22726,0.44735,0.44998,0.0
0.77,0.22711,0.44736,0.44999,0.0
0.775,0.22697,0.44736,0.44999,0.0
0.78,0.22682,0.44737,0.44999,0.0
0.785,0.22667,0.44738,0.44999,0.0
0.79,0.22653,0.44738,0.45,0.0
0.795,0.22639,0.44739,0.45,0.0
0.8,0.22626,0.44739,0.45,0.0
0.805,0.22612,0.4474,0.45001,0.0
0.81,0.22599,0.44741,0.45001,0.0
0.8150000000000001,0.22585,0.44742,0.45002,0.0
0.8200000000000001,0.22572,0.44742,0.45002,0.0
0.8250000000000001,0.22559,0.44743,0.45002,0.0
0.8300000000000001,0.22547,0.44743,0.45002,0.0
0.835,0.22535,0.44744,0.45003,0.0
0.84,0.22523,0.44744,0.45003,0.0
0.845,0.22511,0.44745,0.45003,0.0
0.85,0.225,0.44745,0.45003,0.0
0.855,0.22489,0.44746,0.45004,0.0
0.86,0.22478,0.44747,0.45004,0.0
0.865,0.22468,0.44747,0.45004,0.0
0.87,0.22457,0.44747,0.45004,0.0
0.875,0.22447,0.44748,0.45005,0.0
0.88,0.22437,0.44749,0.45005,0.0
0.885,0.22428,0.44749,0.45005,0.0
0.89,0.22419,0.44749,0.45005,0.0
0.895,0.2241,0.4475,0.45006,0.0
0.9,0.22402,0.4475,0.45006,0.0
0.905,0.22394,0.4475,0.45006,0.0
0.91,0.22386,0.44751,0.45006,0.0
0.915,0.22379,0.44751,0.45006,0.0
0.92,0.22372,0.44751,0.45006,0.0
0.925,0.22366,0.44751,0.45006,0.0
0.93,0.2236,0.44752,0.45006,0.0
0.935,0.22354,0.44752,0.45006,0.0
0.9400000000000001,0.22349,0.44752,0.45006,0.0
0.9450000000000001,0.22345,0.44752,0.45007,0.0
0.9500000000000001,0.22341,0.44752,0.45007,0.0
0.9550000000000001,0.22338,0.44752,0.45007,0.0
0.96,0.22335,0.44753,0.45007,0.0
0.965,0.22334,0.44753,0.45007,0.0
0.97,0.22334,0.44753,0.45007,0.0
0.975,0.22334,0.44753,0.45007,0.0
0.98,0.22334,0.44753,0.45007,0.0
0.985,0.22334,0.44753,0.45007,0.0
0.99,0.22334,0.44753,0.45007,0.0
0.995,0.22334,0.44752,0.45007,0.0
1.0,0.22334,0.44752,0.45007,0.0
1.0050000000000001,0.22334,0.44752,0.45006,0.0
1.01,0.22334,0.44752,0.45006,0.0
1.0150000000000001,0.22334,0.44752,0.45006,0.0
1.02,0.22334,0.44752,0.45006,0.0
1.025,0.22334,0.44751,0.45005,0.0
1.03,0.22334,0.44751,0.45005,0.0
1.035,0.22334,0.44751,0.45005,0.0
1.04,0.22334,0.4475,0.45004,0.0
1.045,0.22335,0.4475,0.45004,0.0
1.05,0.22335,0.44749,0.45004,0.0
1.055,0.22335,0.44749,0.45003,0.0
1.06,0.22335,0.44748,0.45003,0.0
1.065,0.22335,0.44748,0.45002,0.0
1.07,0.22336,0.44747,0.45002,0.0
1.075,0.22336,0.44747,0.45001,0.0
1.08,0.22337,0.44745,0.45,0.0
1.085,0.22337,0.44745,0.44999,0.0
1.09,0.22337,0.44744,0.44998,0.0
1.095,0.22338,0.44743,0.44997,0.0
1.1,0.22338,0.44742,0.44996,0.0
1.105,0.22339,0.4474,0.44995,0.0
1.11,0.22339,0.44739,0.44994,0.0
1.115,0.2234,0.44738,0.44992,0.0
1.12,0.2234,0.44737,0.44991,0.0
1.125,0.22341,0.44736,0.4499,0.0
1.1300000000000001,0.22342,0.44734,0.44988,0.0
1.135,0.22342,0.44733,0.44987,0.0
1.1400000000000001,0.22343,0.44731,0.44985,0.0
1.145,0.22344,0.44729,0.44984,0.0
1.1500000000000001,0.22345,0.44727,0.44982,0.0
1.155,0.22345,0.44726,0.4498,0.0
1.16,0.22346,0.44723,0.44978,0.0
1.165,0.22347,0.44721,0.44976,0.0
1.17,0.22348,0.44719,0.44974,0.0
1.175,0.2235,0.44717,0.44971,0.0
1.18,0.22351,0.44714,0.44969,0.0
1.185,0.22352,0.44711,0.44966,0.0
1.19,0.22354,0.44709,0.44963,0.0
1.195,0.22355,0.44706,0.4496,0.0
1.2,0.22356,0.44703,0.44957,0.0
1.205,0.22358,0.44699,0.44954,0.0
1.21,0.22359,0.44696,0.44951,0.0
1.215,0.22361,0.44692,0.44947,0.0
1.22,0.22363,0.44688,0.44943,0.0
1.225,0.22365,0.44684,0.44939,0.0
1.23,0.22367,0.4468,0.44935,0.0
1.235,0.22369,0.44676,0.44931,0.0
1.24,0.22371,0.44671,0.44927,0.0
1.245,0.22374,0.44667,0.44922,0.0
1.25,0.22376,0.44661,0.44917,0.0
1.2550000000000001,0.22379,0.44656,0.44911,0.0
1.26,0.22381,0.44651,0.44906,0.0
1.2650000000000001,0.22384,0.44645,0.449,0.0
1.27,0.22387,0.44638,0.44894,0.0
1.2750000000000001,0.22391,0.44632,0.44888,0.0
1.28,0.22394,0.44625,0.44881,0.0
1.285,0.22398,0.44618,0.44874,0.0
1.29,0.22401,0.4461,0.44866,0.0
1.295,0.22405,0.44602,0.44858,0.0
1.3,0.22409,0.44594,0.4485,0.0
1.305,0.22414,0.44585,0.44841,0.0
1.31,0.22418,0.44576,0.44832,0.0
1.315,0.22423,0.44566,0.44822,0.0
1.32,0.22428,0.44556,0.44812,0.0
1.325,0.22434,0.44545,0.44802,0.0
1.33,0.22439,0.44534,0.4479,0.0
1.335,0.22445,0.44522,0.44779,0.0
1.34,0.22451,0.44509,0.44766,0.0
1.345,0.22457,0.44495,0.44752,0.0
1.35,0.22465,0.44482,0.44739,0.0
1.355,0.22473,0.44467,0.44724,0.0
1.36,0.22481,0.4445,0.44707,0.0
1.365,0.2249,0.44432,0.4469,0.0
1.37,0.225,0.44413,0.44671,0.0
1.375,0.22509,0.44393,0.44651,0.0
1.3800000000000001,0.2252,0.44372,0.44631,0.0
1.385,0.22531,0.44351,0.44609,0.0
1.3900000000000001,0.22542,0.44328,0.44587,0.0
1.395,0.22554,0.44304,0.44563,0.0
1.4000000000000001,0.22567,0.44279,0.44539,0.0
1.405,0.2258,0.44253,0.44513,0.0
1.41,0.22594,0.44225,0.44486,0.0
1.415,0.22609,0.44196,0.44457,0.0
1.42,0.22624,0.44166,0.44427,0.0
1.425,0.2264,0.44134,0.44395,0.0
1.43,0.22657,0.441,0.44362,0.0
1.435,0.22676,0.44065,0.44327,0.0
1.44,0.22693,0.44025,0.44288,0.0
1.445,0.22712,0.43984,0.44247,0.0
1.45,0.22736,0.43945,0.44208,0.0
1.455,0.2276,0.439,0.44164,0.0
1.46,0.22785,0.43852,0.44116,0.0
1.465,0.22811,0.43801,0.44066,0.0
1.47,0.22839,0.43746,0.44012,0.0
1.475,0.22868,0.43689,0.43955,0.0
1.48,0.22901,0.4363,0.43897,0.0
1.485,0.2293,0.43562,0.4383,0.0
1.49,0.2296,0.43512,0.4378,0.0
1.495,0.23599,0.43447,0.43731,0.0
1.5,0.48922,0.43356,0.44887,0.3
1.5050000000000001,0.7384300000000003,0.43278999999999995,0.46058,0.3
1.51,0.74446,0.43199,0.46024,0.3
1.5150000000000001,0.7549300000000005,0.43110999999999994,0.46016,0.3
1.52,0.76675,0.43033,0.4603,0.3
1.5250000000000001,0.7757600000000003,0.42943999999999993,0.46012,0.3
1.53,0.78212,0.42837,0.45955,0.3
1.5350000000000001,0.7871100000000002,0.42739999999999995,0.45897999999999994,0.3
1.54,0.79222,0.42634,0.45832,0.3
1.545,0.79758,0.4254,0.45782,0.3
1.55,0.8027,0.42434,0.45718,0.3
1.555,0.80758,0.42307,0.45631,0.3
1.56,0.81242,0.42193,0.45557,0.3
1.565,0.81732,0.42072,0.45477,0.3
1.57,0.82232,0.41949,0.45395,0.3
1.575,0.82793,0.41827,0.45321,0.3
1.58,0.83544,0.41703,0.4526,0.3
1.585,0.8444,0.41575,0.45209,0.3
1.59,0.85367,0.41444,0.45159,0.3
1.595,0.86327,0.41315,0.45113,0.3
1.6,0.87317,0.41183,0.45069,0.3
1.605,0.88329,0.41061,0.45038,0.3
1.61,0.89368,0.4093,0.45001,0.3
1.615,0.90439,0.40789,0.44958,0.3
1.62,0.91529,0.40653,0.44923,0.3
1.625,0.92636,0.40542,0.44916,0.3
1.6300000000000001,0.9376800000000005,0.40415999999999996,0.44898,0.3
1.635,0.94924,0.40267,0.4486,0.3
1.6400000000000001,0.9609100000000006,0.40132999999999996,0.4484,0.3
1.645,0.97268,0.40032,0.44855,0.3
1.6500000000000001,0.9846600000000005,0.39912999999999993,0.44855,0.3
1.655,0.99679,0.39765,0.44829,0.3
1.6600000000000001,1.0089900000000005,0.39638999999999996,0.44829,0.3
1.665,1.02127,0.39539,0.44855,0.3
1.67,1.03369,0.39426,0.44872,0.3
1.675,1.04622,0.3929,0.44869,0.3
1.68,1.05883,0.39178,0.44892,0.3
1.685,1.07151,0.39067,0.44919,0.3
1.69,1.0843,0.38955,0.44948,0.3
1.695,1.09721,0.38846,0.44982,0.3
1.7,1.11023,0.38742,0.45024,0.3
1.705,1.12339,0.38633,0.45066,0.3
1.71,1.1367,0.38542,0.45127,0.3
1.715,1.15022,0.38441,0.45184,0.3
1.72,1.16398,0.38324,0.4523,0.3
1.725,1.17801,0.38225,0.45298,0.3
1.73,1.19237,0.38118,0.45365,0.3
1.735,1.20707,0.38033,0.4546,0.3
1.74,1.22221,0.37934,0.45548,0.3
1.745,1.23788,0.37812,0.45622,0.3
1.75,1.25414,0.3771,0.45727,0.3
1.7550000000000001,1.271160000000001,0.37595999999999996,0.45832000000000006,0.3
1.76,1.28894,0.37517,0.45985,0.3
1.7650000000000001,1.3075800000000009,0.37412999999999996,0.4612800000000001,0.3
1.77,1.32732,0.37269,0.46249,0.3
1.7750000000000001,1.3484300000000011,0.37146999999999997,0.4641500000000001,0.3
1.78,1.37098,0.37044,0.46625,0.3
1.7850000000000001,1.395060000000001,0.3692099999999999,0.4684200000000001,0.3
1.79,1.42099,0.36772,0.47065,0.3
1.795,0.95312,0.36626,0.42437,0.3
1.8,0.481,0.36522,0.37701,0.3
1.805,0.49165,0.36383,0.37615,0.0
1.81,0.49556,0.36173,0.37424,0.0
1.815,0.50949,0.36043,0.37367,0.0
1.82,0.52242,0.35879,0.3727,0.0
1.825,0.52565,0.35643,0.37051,0.0
1.83,0.53825,0.35444,0.36921,0.0
1.835,0.55016,0.35241,0.36784,0.0
1.84,0.56169,0.3507,0.36679,0.0
1.845,0.57236,0.34847,0.36517,0.0
1.85,0.57511,0.34601,0.36287,0.0
1.855,0.58615,0.34352,0.36104,0.0
1.86,0.60579,0.34102,0.35973,0.0
1.865,0.61728,0.33827,0.35769,0.0
1.87,0.62961,0.33573,0.35594,0.0
1.875,0.6424,0.33284,0.35388,0.0
1.8800000000000001,0.657340000000003,0.32901999999999965,0.35104999999999986,0.0
1.885,0.67946,0.32639,0.34992,0.0
1.8900000000000001,0.6873300000000003,0.3229899999999999,0.34706999999999993,0.0
1.895,0.69268,0.31905,0.34351,0.0
1.9000000000000001,0.7033199999999998,0.31636999999999976,0.3415899999999998,0.0
1.905,0.70952,0.31297,0.33863,0.0
1.9100000000000001,0.7009699999999998,0.3084699999999999,0.33351999999999987,0.0
1.915,0.69351,0.30571,0.33022,0.0
1.92,0.69605,0.30278,0.32747,0.0
1.925,0.69566,0.29803,0.3227,0.0
1.93,0.69168,0.29315,0.31754,0.0
1.935,0.67533,0.28829,0.31154,0.0
1.94,0.66119,0.28544,0.30772,0.0
1.945,0.65789,0.28268,0.30474,0.0
1.95,0.65261,0.27789,0.29959,0.0
1.955,0.64644,0.27295,0.29425,0.0
1.96,0.63973,0.26798,0.28884,0.0
1.965,0.63243,0.263,0.28338,0.0
1.97,0.62486,0.258,0.2779,0.0
1.975,0.61749,0.253,0.27243,0.0
1.98,0.61439,0.24798,0.26722,0.0
1.985,0.61979,0.24296,0.26254,0.0
1.99,0.63914,0.23793,0.25876,0.0
1.995,0.64759,0.23289,0.25427,0.0
2.0,0.64185,0.22785,0.24885,0.0
2.005,0.64549,0.2228,0.24404,0.0
2.0100000000000002,0.6543500000000001,0.2177599999999999,0.2395799999999999,0.0
2.015,0.66086,0.21271,0.23497,0.0
2.02,0.66128,0.20767,0.22995,0.0
2.025,0.65516,0.20262,0.2245,0.0
2.0300000000000002,0.6444899999999998,0.19758999999999985,0.21875999999999984,0.0
2.035,0.63875,0.19257,0.21336,0.0
2.04,0.65194,0.18514,0.20681,0.0
2.045,0.68675,0.17767,0.20173,0.0
2.05,0.73812,0.17261,0.20043,0.0
2.055,0.79258,0.16758,0.19963,0.0
2.06,0.84111,0.16014,0.19623,0.0
2.065,0.89095,0.15268,0.19317,0.0
2.07,0.93409,0.14762,0.19211,0.0
2.075,0.96804,0.1402,0.18797,0.0
2.08,0.99774,0.13274,0.18349,0.0
2.085,1.02422,0.12767,0.18114,0.0
2.09,1.04614,0.12263,0.17841,0.0
2.095,1.06331,0.11524,0.17287,0.0
2.1,1.08276,0.10782,0.16758,0.0
2.105,1.10604,0.10277,0.16512,0.0
2.11,1.13241,0.09774,0.16311,0.0
2.115,1.16755,0.09274,0.16224,0.0
2.12,1.21767,0.08775,0.16337,0.0
2.125,1.28125,0.08279,0.16652,0.0
2.13,1.35159,0.07786,0.17103,0.0
2.1350000000000002,1.4241799999999953,0.07296000000000037,0.1764099999999997,0.0
2.14,1.50135,0.07028,0.18524,0.0
2.145,1.57671,0.06766,0.19443,0.0
2.15,1.64776,0.06293,0.20138,0.0
2.1550000000000002,1.7232100000000063,0.06030999999999978,0.21173000000000095,0.0
2.16,1.7957,0.05779,0.2222,0.0
2.165,1.86506,0.05529,0.23265,0.0
2.17,1.93202,0.05314,0.24344,0.0
2.1750000000000003,1.9942900000000021,0.05075000000000006,0.25351000000000057,0.0
2.18,2.0527,0.04924,0.26403,0.0
2.185,2.10309,0.04771,0.27316,0.0
2.19,2.14746,0.04678,0.28184,0.0
2.195,2.1874,0.04593,0.28982,0.0
2.2,2.22411,0.04532,0.29746,0.0
2.205,2.25682,0.0447,0.3043,0.0
2.21,2.28399,0.04406,0.30995,0.0
2.215,2.30662,0.04366,0.31484,0.0
2.22,2.32594,0.04331,0.31905,0.0
2.225,2.34248,0.04302,0.3227,0.0
2.23,2.35662,0.04277,0.32584,0.0
2.235,2.36871,0.04256,0.32854,0.0
2.24,2.37903,0.04239,0.33086,0.0
2.245,2.38786,0.04224,0.33285,0.0
2.25,2.39539,0.04211,0.33456,0.0
2.255,2.40182,0.042,0.33602,0.0
2.2600000000000002,2.4073100000000003,0.04189999999999999,0.3372700000000001,0.0
2.265,2.412,0.04182,0.33835,0.0
2.27,2.41602,0.04175,0.33926,0.0
2.275,2.41945,0.04169,0.34005,0.0
2.2800000000000002,2.4224000000000006,0.041639999999999996,0.34073000000000003,0.0
2.285,2.42493,0.0416,0.34131,0.0
2.29,2.42711,0.04156,0.3418,0.0
2.295,2.42899,0.04152,0.34223,0.0
2.3000000000000003,2.43062,0.04149,0.3426100000000001,0.0
2.305,2.43204,0.04146,0.34293,0.0
2.31,2.43327,0.04144,0.34321,0.0
2.315,2.43435,0.04142,0.34346,0.0
2.32,2.4353,0.04139,0.34367,0.0
2.325,2.43614,0.04138,0.34386,0.0
2.33,2.43688,0.04136,0.34403,0.0
2.335,2.43754,0.04134,0.34418,0.0
2.34,2.43813,0.04133,0.34431,0.0
2.345,2.43866,0.04132,0.34443,0.0
2.35,2.43914,0.04131,0.34454,0.0
2.355,2.43956,0.04129,0.34463,0.0
2.36,2.43995,0.04128,0.34472,0.0
2.365,2.4403,0.04128,0.3448,0.0
2.37,2.44062,0.04127,0.34487,0.0
2.375,2.44092,0.04126,0.34493,0.0
2.38,2.44118,0.04125,0.34499,0.0
2.3850000000000002,2.44142,0.04125,0.34505,0.0
2.39,2.44164,0.04124,0.3451,0.0
2.395,2.44184,0.04124,0.34514,0.0
2.4,2.44203,0.04123,0.34518,0.0
2.4050000000000002,2.44219,0.04123,0.34522,0.0
2.41,2.44234,0.04123,0.34526,0.0
2.415,2.44248,0.04123,0.34529,0.0
2.42,2.4426,0.04123,0.34532,0.0
2.4250000000000003,2.44271,0.04123,0.34535,0.0
2.43,2.4428,0.04123,0.34537,0.0
2.435,2.44288,0.04123,0.34539,0.0
2.44,2.44294,0.04123,0.34541,0.0
2.445,2.44299,0.04123,0.34542,0.0
2.45,2.44302,0.04124,0.34543,0.0
2.455,2.44304,0.04124,0.34544,0.0
2.46,2.44304,0.04124,0.34545,0.0
2.465,2.44303,0.04125,0.34545,0.0
2.47,2.44301,0.04125,0.34545,0.0
2.475,2.44297,0.04126,0.34544,0.0
2.48,2.44293,0.04126,0.34544,0.0
2.485,2.44289,0.04127,0.34543,0.0
2.49,2.44286,0.04128,0.34544,0.0
2.495,2.44285,0.04129,0.34544,0.0
2.5,2.44284,0.04129,0.34545,0.0
